,Movie,Year,Rated,Released,Runtime,Genre,Director,imdbRating,Actors,Plot,Country
47,Sahib Bibi Aur Ghulam,1962,Not Rated,07 Dec 1962,152 min,"Drama, Musical",Abrar Alvi,8.3,"Meena Kumari, Guru Dutt, Rehman","A lowly servant, Bhognath gets close to the wife of his employer and narrates her story through his eyes and perspective.",India
48,Tezaab,1988,Not Rated,11 Nov 1988,173 min,"Action, Drama, Romance",N. Chandra,7.0,"Anil Kapoor, Madhuri Dixit, Anupam Kher","A college student, who wants to join the army and serve his country, becomes a criminal due to unforeseen circumstances.",India
49,Sangam,1964,N/A,18 Jun 1964,238 min,"Drama, Musical, Romance",Raj Kapoor,7.5,"Raj Kapoor, Rajendra Kumar, Vyjayanthimala","Returning home from war after being assumed dead, a pilot weds the woman he has long loved, unaware that she had been planning to marry his best friend.",India
50,Rockstar,2011,Not Rated,11 Nov 2011,159 min,"Drama, Music, Romance",Imtiaz Ali,7.7,"Ranbir Kapoor, Nargis Fakhri, Shammi Kapoor","Janardhan Jakhar chases his dreams of becoming a big Rock star, during which he falls in love with Heer.",India
51,Main Hoon Na,2004,Not Rated,30 Apr 2004,182 min,"Action, Comedy, Drama",Farah Khan,7.0,"Shah Rukh Khan, Sushmita Sen, Sunil Shetty","An army major goes undercover as a college student. His mission is both professional and personal: to protect his general's daughter from a radical militant, and to find his estranged half-brother.",India
52,Queen,2013,Not Rated,07 Mar 2014,146 min,"Adventure, Comedy, Drama",Vikas Bahl,8.2,"Kangana Ranaut, Rajkummar Rao, Lisa Haydon",A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.,India
53,Mera Naam Joker,1970,N/A,18 Dec 1970,224 min,"Comedy, Drama",Raj Kapoor,8.0,"Raj Kapoor, Manoj Kumar, Simi Garewal","Raju is a joker, a clown. It is what he is and what he always shall be. As his life story unfolds in three chapters, from his school days to the circus to the streets, he must always make people laugh and be happy, no matter how unha",India
54,Kuch Kuch Hota Hai,1998,Not Rated,16 Oct 1998,177 min,"Comedy, Drama, Musical",Karan Johar,7.6,"Shah Rukh Khan, Kajol, Rani Mukerji","During their college years, Anjali was in love with her best-friend Rahul, but he had eyes only for Tina. Years later, Rahul and the now-deceased Tina's eight-year-old daughter attempts to reunite her father and Anjali.",India
55,Velu Nayakan,,,,,,,,,,
56,Parvarish,1977,Not Rated,11 Nov 1977,162 min,"Action, Crime, Drama",Manmohan Desai,6.9,"Shammi Kapoor, Amitabh Bachchan, Vinod Khanna, Neetu Singh","A policeman adopts the son of a bandit. A misunderstanding leads the officer's own biological son to believe he is the bandit's son and he takes up a secret life of crime; meanwhile, the adopted son becomes an officer of the law.",India
